well_id,geology_type,aquifer_classification,confidence
SGR10A-OW,Basalt,Weathered,0.67
SGR110-OW,Basalt,Unknown,0.5
SGR112-OW,Basalt,Weathered,1.0
SGR114-OW,Basalt,Weathered,1.0
SGR116-OW,Basalt,Weathered,1.0
SGR119-OW,Basalt,Weathered,1.0
SGR120-OW,Basalt,Weathered,0.67
SGR121-OW,Basalt,Weathered,0.5
SGR122-OW,Basalt,Weathered,0.75
SGR123-OW,Basalt,Weathered,0.67
SGR124-OW,Basalt,Weathered,0.67
SGR125-OW,Basalt,Weathered,0.67
SGR126-OW,Basalt,Weathered,0.67
SGR127-OW,Basalt,Weathered,0.67
SGR128-OW,Basalt,Weathered,0.67
SGR129-OW,Basalt,Weathered,1.0
SGUN001-OW,Basalt,Weathered,1.0
SGUN001-PZ,Basalt,Weathered,0.62
SGUN002-OW,Basalt,Weathered,1.0
SGUN002-PZ,Basalt,Weathered,0.83
SGUN003-OW,Basalt,Weathered,1.0
SGUN003-PZ,Basalt,Weathered,0.5
SGUN004-OW,Basalt,Weathered,1.0
SGUN004-PZ,Basalt,Weathered,1.0
SGUN005-OW,Basalt,Weathered,1.0
SGUN005-PZ,Basalt,Weathered,0.75
SGUN006A-OW,Basalt,Weathered,1.0
SGUN006-PZ,Basalt,Weathered,0.78
SGUN007-OW,Basalt,Weathered,1.0
SGUN007-PZ,Basalt,Weathered,0.83
SGUN008-OW,Basalt,Weathered,1.0
SGUN008-PZ,Basalt,Weathered,0.82
SGUN009A-PZ,Unknown,Unknown,0.0
SGUN009-OW,Basalt,Weathered,1.0
SGUN009-PZ,Basalt,Weathered,0.5
SGUN010-OW,Basalt,Weathered,1.0
SGUN011A-OW,Basalt,Weathered,1.0
SGUN012-OW,Basalt,Weathered,1.0
SGUN013A-OW,Basalt,Weathered,1.0
SGUN014-OW,Basalt,Weathered,1.0
SGUN015-OW,Basalt,Weathered,1.0
SGUN016-OW,Basalt,Weathered,1.0
SGUN017A-OW,Basalt,Weathered,1.0
SGUN018-OW,Basalt,Weathered,1.0
SGUN019-OW,Basalt,Weathered,1.0
SGUN020A-OW,Basalt,Weathered,1.0
SGUN021-OW,Basalt,Weathered,1.0
SGUN022-OW,Basalt,Weathered,1.0
SGUN023-OW,Basalt,Weathered,1.0
SGUN024-OW,Basalt,Weathered,1.0
SGUN025-OW,Basalt,Weathered,1.0
SGUN026-OW,Basalt,Weathered,1.0
SGUN027-OW,Basalt,Weathered,1.0
SGUN028-OW,Basalt,Weathered,1.0
SGUN029-OW,Basalt,Weathered,1.0
SGUN030-OW,Basalt,Weathered,1.0
SGUN031-OW,Basalt,Weathered,1.0
SGUN032-OW,Basalt,Weathered,1.0
SGUN033-OW,Basalt,Weathered,1.0
SGUN034-OW,Basalt,Weathered,1.0
SGUN035-OW,Basalt,Weathered,1.0
SGUN036-OW,Unknown,Unknown,0.0
SGUN037-OW,Basalt,Weathered,1.0
SGUN038-OW,Basalt,Weathered,1.0
SGUN039-OW,Basalt,Weathered,1.0
SGUN040A-OW,Basalt,Weathered,1.0
SGUN041-OW,Basalt,Weathered,1.0
SGUN042-OW,Basalt,Weathered,1.0
SGUN043-OW,Basalt,Weathered,1.0
SGUN044-OW,Basalt,Weathered,1.0
SGUN045A-OW,Basalt,Weathered,1.0
SGUN046-OW,Basalt,Weathered,1.0
SGUN047-OW,Basalt,Weathered,1.0
SGUN048A-OW,Basalt,Weathered,1.0
SGUN049A-OW,Basalt,Weathered,1.0
SGUN050-OW,Basalt,Weathered,1.0
SGUN051-OW,Basalt,Weathered,1.0
SGUN052-OW,Basalt,Weathered,1.0
SGUN053A-OW,Basalt,Weathered,1.0
SGUN054-OW,Basalt,Weathered,1.0
SGUN055-OW,Basalt,Weathered,1.0
SGUN056-OW,Basalt,Weathered,1.0
